Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Niños y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,No,Votos por el Si,Si,Votos validos,Votos totales,Cuantos salieron a votar,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
CONTRATACION,SANTANDER,1203,22.67%,1319,47.62%,Santos,50.84%,1493,53.90%,Zuluaga,2920,3.19,3.19,125.76,6.95,0.29,0,0,0,Ninguno,0,554,0.420972644,762,0.579027356,1316,1371,46.95%,22.92%,No,No,0,0
COROMORO,SANTANDER,1763,38.73%,1619,40.00%,Zuluaga,50.84%,2313,57.15%,Zuluaga,4141,0.53,8.04,87.16,7.78,1.05,0.4,0,0,Bajo,1,691,0.465006729,795,0.534993271,1486,1594,38.49%,86.37%,No,No,0,0
CURITI,SANTANDER,4240,40.06%,3647,45.58%,Zuluaga,55.21%,4999,62.48%,Zuluaga,8217,0.42,0.42,6.87,0.17,0.17,0,0.08,0,Ninguno,0,1741,0.532904806,1526,0.467095194,3267,3378,41.11%,69.93%,No,No,0,0
EL CARMEN,SANTANDER,3955,57.13%,4945,47.44%,Zuluaga,73.69%,5812,55.76%,Zuluaga,10715,0.89,5.47,172.1,21.63,0.39,0.2,0.89,0.44,Ninguno,0,3114,0.732361242,1138,0.267638758,4252,4458,41.61%,71.19%,No,Si,1.16,0
EL GUACAMAYO,SANTANDER,767,47.78%,720,45.45%,Zuluaga,48.69%,914,57.70%,Santos,1590,1.02,6.61,75.75,16.78,0.51,0,0,0,Ninguno,0,234,0.302716688,539,0.697283312,773,813,51.13%,79.20%,No,No,0,0
EL PENON,SANTANDER,1362,30.83%,1343,42.31%,Santos,43.50%,1655,52.14%,Santos,3339,1.17,22.29,331.64,44.78,0.2,1.56,0.2,0,Ninguno,0,631,0.504396483,620,0.495603517,1251,1328,39.77%,82.82%,No,No,0,0
EL PLAYON,SANTANDER,3867,42.68%,4494,39.89%,Zuluaga,55.64%,5338,47.38%,Zuluaga,11556,2.06,12.79,405.12,67.49,4.64,0.26,0.26,0,Ninguno,0,3041,0.724392568,1157,0.275607432,4198,4361,37.74%,52.85%,No,Si,2.56,0
ENCINO,SANTANDER,871,27.73%,887,43.48%,Santos,48.81%,1178,57.75%,Santos,2123,0.4,5.65,57.66,19.76,0,0,0,0,Ninguno,0,244,0.37596302,405,0.62403698,649,692,32.60%,81.72%,No,No,0,0
ENCISO,SANTANDER,1492,28.95%,1368,42.78%,Santos,43.77%,1773,55.44%,Santos,3267,1.53,0.92,69.06,12.58,0,0,0,0,Ninguno,0,702,0.541249036,595,0.458750964,1297,1345,41.17%,81.11%,No,No,0,0
FLORIAN,SANTANDER,1902,23.69%,1718,34.60%,Santos,31.18%,2367,47.67%,Santos,5159,0.32,5.24,148.9,15.73,0,0.16,0,0,Ninguno,0,550,0.33033033,1115,0.66966967,1665,1703,33.01%,76.72%,No,No,0,0
FLORIDABLANCA,SANTANDER,60381,22.85%,82888,49.10%,Zuluaga,41.89%,92478,54.78%,Santos,178805,0.06,0.23,3.76,2.48,0.06,0,0,0,Ninguno,0,50640,0.583215285,36189,0.416784715,86829,87866,49.14%,3.66%,No,No,0,0
GALAN,SANTANDER,1000,54.95%,1110,44.92%,Zuluaga,69.47%,1366,55.28%,Zuluaga,2536,1.78,30.3,133.24,22.73,1.34,0,1.34,0,Ninguno,0,603,0.581485053,434,0.418514947,1037,1082,42.67%,73.48%,No,No,0,0
GAMBITA,SANTANDER,1113,31.22%,1371,42.94%,Santos,47.44%,1640,51.36%,Santos,3239,1.59,4.17,83.96,5.36,0.4,0,0,0,Ninguno,0,497,0.451818182,603,0.548181818,1100,1135,35.04%,92.23%,No,No,0,0
GIRON,SANTANDER,36207,25.29%,44966,46.08%,Zuluaga,41.35%,51749,53.03%,Santos,105643,0.06,0.45,14.19,5.38,0.06,0.01,0.01,0,Ninguno,0,28052,0.621292995,17099,0.378707005,45151,45814,43.37%,10.66%,No,No,0,0
GUACA,SANTANDER,2348,49.01%,2120,41.00%,Zuluaga,63.64%,2745,53.08%,Zuluaga,5140,2.21,5.99,101.34,14.66,0.16,0,0,0,Ninguno,0,1215,0.613326603,766,0.386673397,1981,2052,39.92%,66.19%,No,No,0,0
GUADALUPE,SANTANDER,1657,32.73%,1925,45.79%,Ramirez,69.69%,2293,54.54%,Zuluaga,4334,0.21,0,21.79,2.56,0,0,0.43,0,Ninguno,0,908,0.599339934,607,0.400660066,1515,1567,36.16%,67.70%,No,No,0,0
GUAPOTA,SANTANDER,875,27.34%,779,42.29%,Ramirez,49.00%,1102,59.83%,Santos,1834,0,0,18.87,2.83,0,0,0,0,Ninguno,0,357,0.483739837,381,0.516260163,738,774,42.20%,75.44%,No,No,0,0
GUAVATA,SANTANDER,2031,19.72%,1516,34.10%,Santos,42.17%,2127,47.84%,Santos,4470,0.55,3.87,54.97,9.94,0.55,0.28,0,0,Ninguno,0,495,0.379892556,808,0.620107444,1303,1345,30.09%,80.39%,No,No,0,0
GUEPSA,SANTANDER,1605,18.31%,1535,38.12%,Santos,32.24%,1957,48.60%,Santos,4173,0.79,0,19.45,13.93,1.58,0,0,0,Ninguno,0,548,0.382414515,885,0.617585485,1433,1462,35.03%,50.95%,No,No,0,0
HATO,SANTANDER,897,20.86%,863,48.37%,Santos,33.21%,1042,58.41%,Santos,1825,0.85,9.4,250.85,33.33,0.43,0,1.28,0,Ninguno,0,310,0.400516796,464,0.599483204,774,817,44.77%,65.11%,No,No,0,0
JESUS MARIA,SANTANDER,1272,29.07%,1111,35.25%,Santos,49.22%,1532,48.60%,Zuluaga,3248,0,4.83,51.17,7.4,0.64,0,0,0,Ninguno,0,375,0.367647059,645,0.632352941,1020,1055,32.48%,73.27%,No,No,0,0
JORDAN,SANTANDER,510,31.53%,463,45.48%,Ramirez,83.04%,631,61.98%,Zuluaga,1107,0,2.73,31.85,12.74,0,0,0,0,Ninguno,0,191,0.496103896,194,0.503896104,385,399,36.04%,94.93%,No,No,0,0
LA BELLEZA,SANTANDER,2157,58.51%,2092,40.37%,Zuluaga,73.96%,2608,50.33%,Zuluaga,5353,0.12,8.03,171.67,8.5,0.35,0,0,0,Ninguno,0,1464,0.663945578,741,0.336054422,2205,2250,42.03%,77.92%,No,No,0,0
LANDAZURI,SANTANDER,3519,34.07%,3138,34.04%,Santos,43.68%,4032,43.74%,Santos,9356,0.58,13.71,302.76,24.16,0.71,0.32,0.39,0,Ninguno,0,1336,0.473758865,1484,0.526241135,2820,3055,32.65%,76.35%,No,No,0,0
LA PAZ,SANTANDER,1737,33.73%,1254,30.76%,Zuluaga,54.21%,1898,46.55%,Zuluaga,4139,0.2,10.38,101.29,18.22,0.2,0.2,0,0,Ninguno,0,490,0.418445773,681,0.581554227,1171,1217,29.40%,84.06%,No,No,0,0
LEBRIJA,SANTANDER,11074,42.44%,13240,47.23%,Zuluaga,52.50%,15700,56.00%,Zuluaga,29381,0.36,3.98,118.64,17.77,0.89,0.08,0.13,0,Ninguno,0,8738,0.693767368,3857,0.306232632,12595,12831,43.67%,51.57%,No,No,0,0
LOS SANTOS,SANTANDER,3175,27.63%,3514,42.96%,Santos,45.47%,4874,59.59%,Santos,8529,0.08,0,7.89,0.65,0,0,0,0,Ninguno,0,2265,0.579580348,1643,0.420419652,3908,4109,48.18%,84.52%,No,No,0,0
MACARAVITA,SANTANDER,901,60.91%,857,39.15%,Zuluaga,74.49%,1117,51.03%,Zuluaga,2244,0.43,15.84,198.63,20.12,1.71,0,0,0,Ninguno,0,347,0.432129514,456,0.567870486,803,840,37.43%,87.89%,No,No,0,0
MALAGA,SANTANDER,6274,37.42%,7189,48.35%,Zuluaga,58.44%,7935,53.37%,Zuluaga,15663,0.44,3.43,64.57,12.53,0.16,0.16,0,0,Ninguno,0,4086,0.616847826,2538,0.383152174,6624,6841,43.68%,16.68%,No,No,0,0
MATANZA,SANTANDER,2319,54.60%,2317,47.80%,Zuluaga,71.78%,2775,57.25%,Zuluaga,4853,2.1,34.94,451.7,60.14,4.96,0.19,2.1,0,Ninguno,0,1334,0.606363636,866,0.393636364,2200,2256,46.49%,79.33%,No,No,0,0
MOGOTES,SANTANDER,2736,37.12%,3023,41.19%,Zuluaga,59.23%,3839,52.31%,Zuluaga,7512,2.02,5.51,57.69,9,0.83,0.18,0.09,0,Ninguno,0,1501,0.563015754,1165,0.436984246,2666,2854,37.99%,65.08%,No,No,0,0
MOLAGAVITA,SANTANDER,1554,64.08%,1445,40.46%,Zuluaga,79.72%,1834,51.36%,Zuluaga,3592,0,0.39,90.84,3.51,0,0,0,0,Ninguno,0,830,0.609845702,531,0.390154298,1361,1433,39.89%,85.23%,No,No,0,0
OCAMONTE,SANTANDER,1814,42.47%,1561,42.45%,Zuluaga,51.60%,2182,59.34%,Zuluaga,3773,0,0.42,12.64,0,0,0,0,0,Ninguno,0,489,0.302224969,1129,0.697775031,1618,1670,44.26%,86.03%,No,No,0,0
OIBA,SANTANDER,3196,34.24%,3528,43.43%,Zuluaga,58.03%,4341,53.43%,Zuluaga,8450,0.17,0.17,14.22,3.64,0.17,0,0,0,Ninguno,0,1931,0.555843408,1543,0.444156592,3474,3582,42.39%,53.17%,No,No,0,0
ONZAGA,SANTANDER,1295,27.78%,1429,37.67%,Ramirez,60.62%,1935,51.02%,Zuluaga,3795,0.4,5.4,65.76,9.79,0.2,0,0,0,Ninguno,0,554,0.466329966,634,0.533670034,1188,1276,33.62%,76.07%,No,No,0,0
PALMAR,SANTANDER,703,22.53%,546,41.74%,Santos,34.65%,733,56.04%,Santos,1353,0,0,7.41,1.78,0,0,0,0,Ninguno,0,183,0.315517241,397,0.684482759,580,594,43.90%,70.40%,No,No,0,0
PALMAS DEL SOCORRO,SANTANDER,1030,33.99%,1012,41.96%,Zuluaga,51.48%,1352,56.05%,Zuluaga,2453,0,0,4.49,9.43,2.25,0,0,0,Ninguno,0,456,0.464358452,526,0.535641548,982,1013,41.30%,69.88%,No,No,0,0
PARAMO,SANTANDER,1642,35.92%,1367,45.92%,Zuluaga,63.96%,1973,66.27%,Zuluaga,3201,0,0,5.53,3.13,0,0,0,0,Ninguno,0,754,0.48802589,791,0.51197411,1545,1586,49.55%,66.44%,No,No,0,0
PIE DE CUESTA,SANTANDER,35255,26.12%,44816,48.18%,Zuluaga,44.55%,51496,55.36%,Santos,100462,0.04,0.35,9.89,1.66,0.06,0.03,0.01,0,Ninguno,0,28817,0.600829824,19145,0.399170176,47962,49041,48.82%,18.45%,No,No,0,0
PINCHOTE,SANTANDER,1580,37.85%,1292,44.29%,Zuluaga,54.52%,1746,59.86%,Zuluaga,3181,0,0,7.57,5.87,0,0,0,0,Ninguno,0,577,0.437452616,742,0.562547384,1319,1357,42.66%,70.96%,No,No,0,0
PUENTE NACIONAL,SANTANDER,4659,22.89%,4761,38.64%,Santos,45.67%,5778,46.89%,Santos,12869,0.24,2.04,26.16,11.41,0.98,0,0,0,Ninguno,0,1857,0.426994711,2492,0.573005289,4349,4456,34.63%,55.88%,No,No,0,0
PUERTO PARRA,SANTANDER,1702,43.87%,1657,31.80%,Zuluaga,51.22%,2181,41.85%,Zuluaga,5414,1.18,15.41,301.37,35.27,0.65,0,0,0,Ninguno,0,1026,0.678122935,487,0.321877065,1513,1545,28.54%,51.56%,No,No,0,0
PUERTO WILCHES,SANTANDER,8424,32.00%,8624,38.94%,Zuluaga,37.30%,10761,48.59%,Santos,22860,1.11,8.95,276.07,31.67,1.68,0.03,0.03,0,Bajo,1,4317,0.513012478,4098,0.486987522,8415,8619,37.70%,46.73%,No,No,0,0
RIO NEGRO,SANTANDER,7330,41.99%,8660,41.05%,Zuluaga,52.04%,10525,49.90%,Zuluaga,22075,0.93,10.37,259.03,46.77,3.53,0.15,0.07,2.83,Ninguno,0,5347,0.666542009,2675,0.333457991,8022,8296,37.58%,75.43%,No,Si,1.98,0
SABANA DE TORRES,SANTANDER,6877,36.91%,7512,39.15%,Zuluaga,47.16%,9394,48.96%,Santos,20581,2.16,11.25,453.41,71.11,1.68,0.59,1.19,6.16,Bajo,1,5347,0.691452218,2386,0.308547782,7733,7916,38.46%,35.09%,No,No,0,0
SAN ANDRES,SANTANDER,2850,39.57%,3010,43.35%,Zuluaga,58.29%,3759,54.13%,Zuluaga,7084,0.83,1.3,96.66,13.52,0.24,0.12,0,0,Ninguno,0,1312,0.444143534,1642,0.555856466,2954,3085,43.55%,69.54%,No,No,0,0
SAN BENITO,SANTANDER,1373,29.04%,985,33.58%,Santos,44.36%,1445,49.27%,Santos,2989,0.5,2.25,63.33,18.02,0,0.25,0,0,Ninguno,0,279,0.323290846,584,0.676709154,863,880,29.44%,88.53%,No,No,0,0
SAN GIL,SANTANDER,14882,25.65%,16498,43.53%,Zuluaga,45.82%,20039,52.87%,Santos,40079,0.07,0.39,6.53,1.18,0.04,0.02,0,0,Ninguno,0,8416,0.495350206,8574,0.504649794,16990,17462,43.57%,11.45%,No,No,0,0
SAN JOAQUIN,SANTANDER,966,32.03%,818,37.44%,Santos,52.00%,1125,51.49%,Zuluaga,2219,8.59,4.09,77.71,0.82,0,0,0,0,Ninguno,0,264,0.380952381,429,0.619047619,693,739,33.30%,73.22%,No,No,0,0
SAN JOSE DE MIRANDA,SANTANDER,1780,48.87%,1725,44.65%,Zuluaga,73.00%,2204,57.05%,Zuluaga,3917,0,0.46,42.53,14.41,0,0,0,0,Ninguno,0,1187,0.672521246,578,0.327478754,1765,1818,46.41%,79.68%,No,No,0,0
SAN MIGUEL,SANTANDER,784,50.40%,877,41.90%,Zuluaga,68.37%,1113,53.18%,Zuluaga,2161,2.13,0.85,62.15,11.49,0,0,1.28,13.62,Ninguno,0,356,0.456996149,423,0.543003851,779,825,38.18%,83.73%,No,No,0,0
SAN VICENTE DEL CHUCURI,SANTANDER,8661,39.16%,9410,38.85%,Zuluaga,58.76%,11597,47.88%,Zuluaga,24555,0.83,6.16,238.1,28.14,0.92,0.12,0.55,0.23,Ninguno,0,5237,0.592353806,3604,0.407646194,8841,9173,37.36%,60.59%,No,No,0,0
SANTA BARBARA,SANTANDER,868,46.49%,811,43.77%,Zuluaga,64.25%,1147,61.90%,Zuluaga,1995,0.47,1.41,123.94,7.54,0.47,0,0,0,Ninguno,0,453,0.639830508,255,0.360169492,708,734,36.79%,81.31%,No,No,0,0
SANTA HELENA DEL OPON,SANTANDER,1054,38.38%,1248,41.75%,Zuluaga,53.78%,1482,49.58%,Zuluaga,3101,1.63,26.35,402.29,17.02,2.57,0,0,0,Ninguno,0,633,0.61516035,396,0.38483965,1029,1113,35.89%,85.95%,No,Si,4.92,0
SIMACOTA,SANTANDER,2170,39.38%,2499,43.80%,Zuluaga,47.39%,3106,54.44%,Santos,5898,1.17,17.43,549.3,40.71,1.82,0.39,0.52,0,Intermedio,2,970,0.439510648,1237,0.560489352,2207,2290,38.83%,68.74%,No,No,0,0
SOCORRO,SANTANDER,9207,25.18%,10236,46.10%,Santos,46.86%,12069,54.35%,Santos,23774,0.2,0.98,11.85,2.67,0.33,0.03,0.03,0,Ninguno,0,5049,0.537299138,4348,0.462700862,9397,9556,40.20%,18.03%,No,No,0,0
SUAITA,SANTANDER,3322,25.56%,3005,36.88%,Santos,37.98%,3944,48.40%,Santos,8256,0.1,5.39,44.85,10.67,0.78,0,0.2,0,Ninguno,0,1189,0.460139319,1395,0.539860681,2584,2678,32.44%,82.02%,No,No,0,0
SUCRE,SANTANDER,2088,55.06%,2194,37.08%,Zuluaga,69.50%,2856,48.27%,Zuluaga,5837,1.56,15.86,249.4,16.22,0.72,0.36,1.2,0,Ninguno,0,1104,0.612652608,698,0.387347392,1802,1858,31.83%,95.21%,No,Si,3.39,0
SURATA,SANTANDER,1296,49.18%,1409,50.27%,Zuluaga,63.17%,1575,56.19%,Zuluaga,3016,5.82,58.52,645.83,88.85,3.37,1.53,2.14,0,Ninguno,0,805,0.627435698,478,0.372564302,1283,1343,44.53%,79.37%,No,No,0,0
TONA,SANTANDER,2043,33.99%,2327,47.75%,Santos,45.32%,2758,56.60%,Santos,4950,0.84,0.84,72.8,22.58,0.28,0.14,0,0,Ninguno,0,1149,0.587123148,808,0.412876852,1957,2039,41.19%,92.14%,No,No,0,0
VALLE DE SAN JOSE,SANTANDER,2011,34.19%,1939,44.26%,Zuluaga,54.72%,2701,61.65%,Zuluaga,4637,0.43,1.09,18.88,2.17,0.22,0,0,0,Ninguno,0,904,0.491571506,935,0.508428494,1839,1902,41.02%,59.15%,No,No,0,0
VELEZ,SANTANDER,5572,24.82%,6156,38.55%,Santos,38.52%,8137,50.96%,Santos,16435,0.26,2.32,37.59,6.21,0.16,0.16,0,0,Ninguno,0,2742,0.45730487,3254,0.54269513,5996,6193,37.68%,46.66%,No,Si,2.03,0
VETAS,SANTANDER,560,62.50%,688,48.11%,Zuluaga,82.39%,829,57.97%,Zuluaga,1466,0.82,0.41,32.73,12.68,0,0,0,0,Ninguno,0,476,0.838028169,92,0.161971831,568,580,39.56%,46.10%,No,No,0,0
VILLANUEVA,SANTANDER,3000,36.59%,2637,42.42%,Zuluaga,64.58%,3419,54.99%,Zuluaga,6336,0,0.17,10.78,1.22,0,0,0,0,Ninguno,0,1427,0.610089782,912,0.389910218,2339,2389,37.71%,39.76%,No,No,0,0
ZAPATOCA,SANTANDER,2161,33.63%,2780,39.04%,Zuluaga,64.41%,3414,47.95%,Zuluaga,7366,0.45,9,101.79,18,0.67,0.22,0.45,0,Ninguno,0,1563,0.613663133,984,0.386336867,2547,2620,35.57%,36.66%,No,No,0,0
SINCELEJO,SUCRE,93138,36.96%,68167,37.00%,Zuluaga,44.34%,93395,50.70%,Santos,195898,0.35,1.75,48.09,9.11,0.28,0.02,0,0,Ninguno,0,31435,0.456267418,37461,0.543732582,68896,70389,35.93%,6.48%,No,No,0,0
BUENAVISTA,SUCRE,5389,22.17%,3875,42.17%,Santos,24.80%,4931,53.66%,Santos,9619,0.42,6.13,512.89,6.86,1.25,0,0,0,Ninguno,0,993,0.312264151,2187,0.687735849,3180,3250,33.79%,15.46%,No,No,0,0
CAIMITO,SUCRE,5333,16.28%,3876,46.16%,Santos,20.49%,4959,59.06%,Santos,8757,0.33,3.37,144.45,6.24,0.9,0,0,0,Ninguno,0,623,0.226627865,2126,0.773372135,2749,2814,32.13%,72.36%,No,No,0,0
COLOSO,SUCRE,3808,42.93%,2814,43.39%,Santos,38.49%,3728,57.48%,Santos,6755,5.34,25.33,4037.05,154.4,3.1,0.17,0.17,32.4,Ninguno,0,693,0.298578199,1628,0.701421801,2321,2374,35.14%,48.66%,No,No,0,0
COROZAL,SUCRE,23353,34.41%,17560,39.79%,Santos,38.18%,23719,53.74%,Santos,45886,0.57,1.93,53.35,10.98,0.24,0.02,0.13,0,Ninguno,0,6973,0.389988814,10907,0.610011186,17880,18206,39.68%,18.23%,No,No,0,0
COVENAS,SUCRE,5533,33.78%,4352,43.30%,Santos,37.10%,6267,62.36%,Santos,10921,0.07,2.76,26.78,8.64,0.22,0,0,0,Ninguno,0,1915,0.499608662,1918,0.500391338,3833,3898,35.69%,71.86%,No,No,0,0
CHALAN,SUCRE,2370,49.58%,1916,44.03%,Zuluaga,47.11%,2426,55.74%,Santos,4403,132.81,33.2,2130.75,133.96,3.89,1.37,1.83,0,Ninguno,0,466,0.34906367,869,0.65093633,1335,1394,31.66%,37.62%,No,No,0,0
EL ROBLE,SUCRE,4800,19.49%,3032,40.61%,Santos,25.11%,4142,55.48%,Santos,7694,1.69,11.06,338.89,23.43,0.56,0,0,0,Ninguno,0,633,0.220480669,2238,0.779519331,2871,2912,37.85%,58.69%,No,No,0,0
GALERAS,SUCRE,8298,38.19%,6004,40.00%,Santos,44.43%,8308,55.35%,Santos,15770,3.07,65.22,325.81,15.31,0.29,0,0.39,0,Ninguno,0,3039,0.582183908,2181,0.417816092,5220,5332,33.81%,38.82%,No,No,0,0
GUARANDA,SUCRE,6053,61.48%,3998,33.28%,Zuluaga,56.91%,6437,53.58%,Zuluaga,12792,1.59,11.11,314.01,10.09,1.08,0,0.06,0,Ninguno,0,1701,0.484339408,1811,0.515660592,3512,3584,28.02%,62.32%,No,No,0,0
LA UNION,SUCRE,5856,17.65%,3354,36.59%,Santos,23.26%,5031,54.89%,Santos,9408,0.09,0.89,35.07,4.79,0.09,0,0,0,Ninguno,0,599,0.204576503,2329,0.795423497,2928,2983,31.71%,46.57%,No,No,0,0
LOS PALMITOS,SUCRE,11165,25.50%,7788,46.66%,Santos,27.25%,10274,61.55%,Santos,17591,2.03,6.86,602.29,19.59,0.99,0.05,0.05,0,Ninguno,0,1751,0.232536521,5779,0.767463479,7530,7661,43.55%,53.33%,No,No,0,0
MAJAGUAL,SUCRE,15140,43.06%,10275,40.98%,Santos,49.64%,13930,55.56%,Santos,26077,0.93,5.98,189.28,9.66,1.05,0.21,0,0,Ninguno,0,2857,0.420641932,3935,0.579358068,6792,6929,26.57%,67.60%,No,No,0,0
MORROA,SUCRE,6951,36.19%,5247,43.17%,Santos,40.08%,6817,56.09%,Santos,12813,1.58,4.11,561.06,30.1,0.41,0,0.48,39.22,Ninguno,0,1753,0.345418719,3322,0.654581281,5075,5222,40.76%,54.39%,No,No,0,0
OVEJAS,SUCRE,11138,37.90%,9002,46.18%,Santos,36.73%,10834,55.57%,Santos,20135,5.99,23.59,2106.89,75.75,3.33,0.52,0.9,9.18,Ninguno,0,2019,0.274806043,5328,0.725193957,7347,7470,37.10%,43.70%,No,No,0,0
PALMITO,SUCRE,5414,24.08%,3613,39.13%,Santos,30.99%,5182,56.12%,Santos,9642,0.5,16.05,177.52,14.76,1.51,0,0,0,Ninguno,0,1011,0.303239352,2323,0.696760648,3334,3394,35.20%,60.94%,No,No,0,0
SAMPUES,SUCRE,16887,24.56%,12932,44.24%,Santos,28.24%,17402,59.53%,Santos,30974,0.08,1.71,36.86,9.67,0.24,0,0,0,Ninguno,0,4596,0.402733964,6816,0.597266036,11412,11708,37.80%,45.05%,No,No,0,0
SAN BENITO ABAD,SUCRE,11336,37.53%,6901,38.82%,Santos,43.38%,9426,53.03%,Santos,18505,0.54,14.62,578.74,16.13,0.54,0.04,0,0,Ninguno,0,1917,0.356518505,3460,0.643481495,5377,5485,29.64%,78.85%,No,No,0,0
SAN JUAN DE BETULIA,SUCRE,7249,31.11%,4818,44.48%,Santos,33.66%,6497,59.97%,Santos,11225,1.35,2.71,148.12,22.3,0.56,0,0,2.71,Ninguno,0,1282,0.286993508,3185,0.713006492,4467,4534,40.39%,48.22%,No,No,0,0
SAN MARCOS,SUCRE,19366,36.52%,12893,32.12%,Santos,42.16%,19581,48.79%,Santos,42745,0.29,4.5,77.33,10.58,0.03,0.02,0,0,Ninguno,0,4036,0.363800252,7058,0.636199748,11094,11381,26.63%,41.12%,No,No,0,0
SAN ONOFRE,SUCRE,16945,21.17%,11641,29.42%,Santos,23.70%,16180,40.89%,Santos,40959,0.99,22.53,936.21,21.8,1.58,0.08,0.04,0.02,Ninguno,0,2247,0.219863014,7973,0.780136986,10220,10458,25.53%,53.35%,No,No,0,0
SAN PEDRO,SUCRE,8953,31.28%,7093,45.10%,Santos,35.95%,8592,54.63%,Santos,16284,1.06,16.31,233.61,20.93,1.12,0,0,0,Ninguno,0,2036,0.35133736,3759,0.64866264,5795,5895,36.20%,30.74%,No,No,0,0
SINCE,SUCRE,13962,29.47%,9440,38.12%,Santos,34.47%,12659,51.12%,Santos,25579,0.32,1.26,46.63,7.7,0.44,0,0,0,Ninguno,0,3493,0.389713266,5470,0.610286734,8963,9157,35.80%,24.43%,No,No,0,0
SUCRE,SUCRE,11073,46.65%,7599,38.33%,Zuluaga,47.14%,9878,49.82%,Santos,20688,1.65,15.53,810.92,15.04,2.5,0.18,0,0,Ninguno,0,2459,0.442345746,3100,0.557654254,5559,5670,27.41%,66.22%,No,No,0,0
SANTIAGO DE TOLU,SUCRE,11976,29.29%,8773,39.99%,Santos,32.96%,11230,51.19%,Santos,22816,0.09,1.09,90.76,8.98,0.35,0,0,0,Ninguno,0,2300,0.297657564,5427,0.702342436,7727,7870,34.49%,18.28%,No,No,0,0
TOLU VIEJO,SUCRE,10361,24.08%,7383,42.58%,Santos,27.13%,9787,56.45%,Santos,17811,2.33,16.09,910.61,55.68,1.8,0.05,0.11,0,Ninguno,0,2060,0.282695211,5227,0.717304789,7287,7424,41.68%,71.24%,No,No,0,0
IBAGUE,TOLIMA,124610,35.84%,179449,48.49%,Zuluaga,58.91%,193904,52.40%,Zuluaga,392554,0.25,3.32,38.39,3.3,0.11,0.05,0.01,0,Ninguno,0,108879,0.606031426,70780,0.393968574,179659,182499,46.49%,5.54%,No,No,0,0
ALPUJARRA,TOLIMA,1842,61.86%,1628,45.41%,Zuluaga,83.01%,1925,53.70%,Zuluaga,3725,7.84,26.74,313.23,16.89,1.61,0,0,0,Ninguno,0,1005,0.689773507,452,0.310226493,1457,1517,40.72%,62.84%,No,No,0,0
ALVARADO,TOLIMA,3418,30.22%,2968,36.60%,Santos,46.28%,3898,48.06%,Santos,8422,1.47,19.51,235.37,28.92,0.91,0,0.57,0.57,Ninguno,0,1415,0.518885222,1312,0.481114778,2727,2787,33.09%,61.95%,No,No,0,0
AMBALEMA,TOLIMA,2603,18.45%,2596,37.62%,Santos,34.60%,3098,44.90%,Santos,6922,0.59,14.21,122.58,19.99,0.3,0,0,0,Ninguno,0,1126,0.480785653,1216,0.519214347,2342,2403,34.72%,23.54%,No,No,0,0
ANZOATEGUI,TOLIMA,2729,68.27%,2625,36.90%,Zuluaga,83.42%,3377,47.47%,Zuluaga,7462,2.09,32.73,337.27,21.78,0.11,0.86,0.11,0.16,Ninguno,0,1576,0.69457911,693,0.30542089,2269,2362,31.65%,88.44%,No,No,0,0
ARMERO GUAYABAL,TOLIMA,3076,31.43%,3958,39.70%,Santos,43.72%,4742,47.57%,Santos,10172,0.59,13.35,143.09,28.97,0.76,0,0,0.84,Ninguno,0,1676,0.482997118,1794,0.517002882,3470,3568,35.08%,29.62%,No,No,0,0
ATACO,TOLIMA,5422,71.69%,6200,42.67%,Zuluaga,81.27%,7374,50.75%,Zuluaga,14957,10.23,52.24,850.81,46.22,0.71,0.44,0.22,18.46,Intermedio,2,3451,0.675474653,1658,0.324525347,5109,5252,35.11%,77.19%,No,No,0,0
CAJAMARCA,TOLIMA,5051,51.70%,7422,46.41%,Zuluaga,76.00%,7949,49.70%,Zuluaga,16190,3.41,33.04,301.16,18.99,0.36,0.46,0.56,0,Bajo,1,4084,0.691383105,1823,0.308616895,5907,6046,37.34%,49.49%,No,No,0,0
CARMEN DE APICALA,TOLIMA,3101,38.77%,3931,48.95%,Zuluaga,51.81%,4584,57.08%,Zuluaga,8453,0.57,2.72,32.94,3.28,0.45,0,0.23,0,Ninguno,0,2242,0.647976879,1218,0.352023121,3460,3506,41.48%,22.31%,No,No,0,0
CASABIANCA,TOLIMA,1831,52.83%,1929,40.50%,Zuluaga,74.31%,2445,51.33%,Zuluaga,4940,2.1,21.17,351.3,56.45,0.9,0.15,0,0,Ninguno,0,953,0.508266667,922,0.491733333,1875,1926,38.99%,78.12%,No,No,0,0
